human	rat	mouse	fly	worm	yeast	alpaca	cow	horse	pig	sheep	cat	dog	guinea_pig	rabbit	chicken	duck	turkey
Q494R4	Q5FVL4	P0C7Q1	0	0	0	0	Q0P5D1	F7D185	F1SAH6	W5PZE2	M3VW43	J9NXN1	H0VQ76	G1TCP1	A0A1L1RL75	U3J2Z1	0
O76094	B0BND9	F8VQC1	Q9VDK7	P91240	0	0	E1BB38	F7E174	F1RTV6	W5P2J3	M3X9Y0	P33731	A0A286X7B1	G1T2W1	Q5ZKZ5	U3IMM8	G1N8W6
Q01959	P23977	Q61327	0	0	0	0	F1MAX1	F6SRM7	F1S024	W5Q3X3	A0A2I2U558	F1PPP6	H0WCX4	G1TQX9	0	0	0
Q96KA5	D4A416	Q8BXA5	Q9VYG3	Q95QB1	0	0	F1MQ41	F7AQE0	F1S026	W5Q4G2	M3WBN0	E2QUF8	H0VB47	G1SHM2	F1NME5	U3I8V5	G1N5Q0
P46020	A0A096MJF7	P18826	0	0	0	0	G3X778	F6YKM1	I3L8R9	W5Q910	M3W753	J9P4A0	A0A286XH84	P18688	E1BQZ7	U3IBP6	G1NBN7
Q13461	Q63250	Q9QY14	0	0	0	0	0	0	F1S6E0	0	0	F1P6E0	0	0	R4GIS6	0	0
Q12923	G3V9S3	Q64512	0	0	0	0	F1N0A2	F6V0G4	I3LMD8	W5P1U7	M3WNY2	F1PMK1	H0V9D2	G1T3B1	E1C8H6	U3IBT9	G1N701
Q8NA31	A0A0G2KAQ9	Q8C0V1	0	0	0	0	E1BFE5	F6RBR8	A0A287BPQ0	W5NW16	M3WZF8	F1P6V9	H0WA17	G1SDK4	0	U3J1Q6	G1N3P9
Q8IWT3	D3ZZP8	S4R1Y1	0	0	0	0	E1BM39	F6QQI1	A0A287AWA8	W5P7I4	A0A2I2UPN4	E2RLY8	H0V1A4	G1SIL5	0	0	0
P16581	P98105	Q00690	0	0	0	0	P98107	Q95LG1	0	W5PN45	A0A2I2TZY2	F1PQP7	H0VLD4	A0A0A0MQQ7	A0A1D5NZP1	U3IE35	G1MXK5
Q5JPB2	A0A0G2JZX4	A2ADM8	0	0	0	0	F1MDR1	F7AZ01	A5GFR7	W5Q3C5	M3VVJ0	J9P6Z7	H0V3U2	G1TCI9	E1BSY4	U3IVK9	G1NRA3
O43237	Q62698	Q6PDL0	0	0	0	0	F1MBQ0	F6W0X2	A0A287BSZ9	W5NVS4	M3WVF5	F1P6V8	A0A286Y5B7	G1SQF2	0	U3J2I9	G1N3T2
P51828	F1LQT1	P51829	0	0	0	0	Q29450	F6WEH3	A0A286ZT06	W5Q6W9	M3X5P3	E2RMU8	A0A286XQY3	G1SJ05	E1C8F6	U3J2P4	G1N097
Q6Q788	Q9QUH3	Q8C7G5	0	0	0	0	A4FUZ9	F7DP84	C1KBZ5	W5NW13	M3WFW9	F1PDH5	H0VR17	G1TX15	E1BT17	0	G1MVT5
P11766	P12711	P28474	0	0	0	0	Q3ZC42	0	0	W5Q2F4	0	0	A0A286XTR9	G1SLF1	A0A1D5PAI6	U3J5E2	G1NFC3
P31639	P53792	Q923I7	0	0	0	0	Q6XUI1	F6S4E1	I3LKT6	W5PIR1	M3VWJ6	E2RT90	H0VJE4	G1U7W5	0	0	0
Q9Y6M0	Q80Z40	Q9JHJ7	0	0	0	0	G3N0F4	0	I3LKM1	W5NQ61	M3WTU2	0	0	G1TRX0	0	0	0
Q9NQP4	M0R5N4	Q3UWL8	Q9VRL3	Q17435	P53900	0	0	F6WHH1	A5GHK3	W5Q6B3	M3WIQ2	J9P9H1	0	G1SMU8	F1NP43	U3IBQ0	G1NAK1
Q9UMR2	A0A0G2JZQ1	Q8BZY3	0	0	0	0	F1MUT6	F6R2E1	F1S432	W5P535	M3XD59	J9PAF3	A0A286XDY4	G1TN91	0	U3IG56	G1N262
Q9BWX1	Q6AXW4	Q9DAG9	0	0	0	0	G3N059	F7A2F8	F1SIW4	W5P3J6	M3WN49	E2RJB6	H0V0F6	G1SU60	0	0	0
Q7Z6V5	M0RA73	Q6P6J0	Q9VEM0	Q95QD6	P47058	0	Q5E9J7	F6T4F0	A0A287ATE6	W5NTV4	M3WX78	E2R9C9	H0V5A6	G1SW59	F1P565	U3INZ9	0
Q9H4B4	Q9R011	Q6P571	0	0	0	0	Q0VCE7	F6T643	F1S348	W5NSV9	M3WCG5	E2RGK9	H0UXX0	G1U4Y9	A0A1D5P517	U3IKU3	G1NCQ7
Q9BTD3	D3ZMR5	Q80XA0	0	0	0	0	G3MZ75	0	K7ZLB0	W5QB86	A0A2I2V374	F1PJF9	H0WD20	0	Q8QFN3	U3J1W7	G1N0F1
Q07654	Q03191	Q62395	0	0	0	0	G5E5Q6	F7DVQ8	I3LKR2	W5PLW3	B4X8D9	E2RMI5	H0W2H4	0	0	0	0
O75973	D3ZEN8	O88992	0	0	0	0	E1BIR7	F6ZIW8	A0A287B5M8	W5PIC5	A0A2I2UDL4	E2RSC9	H0VYB7	G1TIU4	R4GH61	0	0
O75096	Q9QYP1	Q8VI56	Q9VXM0	0	0	0	F1ML31	F7C3H1	F1SIB6	W5P3P4	A0A2I2U703	J9P7Q4	H0V998	G1SGQ7	A0A1D5PKF3	U3IQR3	G1NEG5
Q9UD71	Q6J4I0	Q60829	0	0	0	0	P07516	F7E107	F1RWM4	W5PP39	M3WCB7	E2R9P0	H0VDR6	G1U6C8	A0A1L1RXZ8	U3I377	H9H1G5
Q92560	D3ZHS6	Q99PU7	Q7K5N4	0	0	0	G3MYU1	F6TYN2	A0A286ZQN6	0	M3WN48	E2R3W8	H0V0E7	G1SU51	A0A1D5P867	U3IZU9	G1MWX5
O15145	B2GV73	Q9JM76	0	Q9XWV3	Q05933	0	Q3T035	0	A0A287BBA0	W5Q5K9	M3W1M4	E2R985	H0V1Z0	G1T277	E1C8Y3	U3I8E1	G1MXF3
Q9NPB9	G3V9V6	Q924I3	0	0	0	0	P35350	F6VNE0	A3F9C6	W5Q256	M3W144	E2QZY3	A0A286XNQ7	G1TBW3	A0A1D5PZ18	R0LD63	G1NS56
A4GXA9	D3ZC60	Q56A04	0	0	0	0	E1B7C9	F6TA20	I3LE59	W5Q4L2	M3WFM9	0	A0A286XR15	0	F1P3C4	U3IC21	G1NBT8
Q8NB49	D3ZFC5	Q9QZW0	0	0	0	0	0	F7E385	F1RQ73	0	A0A2I2V067	J9P0C5	0	G1T4Q7	A0A1D5P076	0	G1MY26
Q86UX2	M0RAR2	Q8BJD1	0	0	0	0	F1N1Z6	F6QBB1	F1RUM0	W5PVM6	M3WEM7	F1PDN8	H0VH12	G1TCP6	E1BTM0	0	G1MYQ9
Q9Y230	G3V8T5	Q9WTM5	Q9V3K3	Q9GZH2	Q12464	0	F1MSD2	F6X277	F1RIP4	W5PSP7	M3W067	E2RTC3	A0A286XN46	G1SQZ4	A0A1D5PII6	0	0
O60749	B2RYP4	Q9CWK8	0	0	0	0	F1MZN7	F7C9B0	A0A287BMK7	W5QCB0	M3WP68	F1PMB5	H0VG43	G1T5E6	A0A1D5PZ41	U3J845	G1NA12
Q8N4P6	D3ZTZ6	Q9D3W5	0	0	0	0	E1BDU2	F7D9Q5	F1RHK8	W5P9D5	M3XB15	F6XN72	H0V0C0	G1SZV2	R4GJT2	0	0
O43390	Q566E4	Q8VHM5	0	0	0	0	A3KMV6	F7BA08	M3V815	W5PCK4	M3WPB2	E2RE36	A0A286Y1C2	G1SRH9	A0A1D5P954	U3I7Q0	G1MQQ0
P23229	G3V667	Q61739	0	0	0	0	E1BFQ6	F7AED9	K7GT68	W5NSV5	A0A2I2UVP7	E2RL88	A0A286XKP1	G1SD83	P26007	U3J7R2	G3UP85
Q8N684	Q5XI29	Q8BTV2	0	0	0	0	F1MU62	F7A500	A0A286ZTD7	W5PTS9	M3WJA3	E2RHC1	H0VFU5	G1TQC7	0	U3IH55	G1N048
Q8IV36	D4A0C3	Q8R1F6	Q52KA6	G5EG65	0	0	F6QK33	F7D809	F1RVV6	W5PPI7	M3WVK6	F1PV04	H0V234	G1TQB4	E1C0V2	U3IDP5	G3UR34
Q6IQ20	Q769K2	Q8BH82	0	0	Q02883	0	Q58CN9	F6VEB1	F1SB56	W5QC83	M3WQ77	F1PJI3	H0UW30	G1TV42	F1P1T2	U3IX73	G1N3B3
O75129	A0A0G2JYU3	Q80Z10	0	0	0	0	0	F6RBF9	A0A287B967	W5P752	M3WTG6	F1PGN4	H0VT46	G1SE85	F1NGF8	0	0
Q13702	A0A0G2K9X2	P12672	Q7K4Y8	Q09485	0	0	E1BJL1	F6PK49	0	W5PA33	M3VYP7	F6V3D2	A0A286XUR7	G1SW35	F1NDR2	R0JVM3	G1NDS4
Q86Y78	D3ZTT2	Q8BPP5	0	0	0	0	G3N0Q5	F6ZWU1	I3LF69	W5PHU3	A0A2I2U035	J9NZ17	H0VAN7	G1SUI1	E1C8G0	U3IGH3	G1NJA2
Q03721	A0A0G2JTV8	Q8R1C0	0	0	0	0	E1B7T7	F6WMM4	F1S618	W5QDS2	M3W8W5	J9NTS6	H0VM79	G1TYL0	0	U3J701	G1MSJ0
Q8NGF3	M0R9F2	E9Q550	0	0	0	0	E1BHX3	F7D327	0	W5P9A9	M3WMD4	E2QUG7	0	G1T7B4	0	0	0
P11150	A0A0G2K6S7	P27656	0	0	0	0	F1N3X6	F6TI02	F1RZH2	W5QI65	M3W8T2	F1PCC4	H0V1P4	G1SFU2	F1NZI7	U3J2Y0	G1N1J3
Q6A163	G3V988	Q6IFX4	0	0	0	0	F1N3T1	F6QKF7	F1RY33	W5Q209	M3VXR5	E2R2Q4	H0VIA1	G1T9S2	0	0	0
Q5VZI3	D3ZSU8	Q8R239	0	0	0	0	Q5EA48	F7AFR7	A0A286ZNE5	W5P7K4	M3VU71	F1PWS4	A0A286XDK9	G1SM83	E1C3C9	U3J6W8	G1MVI7
Q9H0Y0	D4A9K6	Q8R1P4	Q4V6A8	Q18991	0	0	A4FUE9	F6ZPH8	I3LC40	W5Q1K7	A0A2I2U522	F6UMC3	A0A286XNB4	G1SVS2	R4GK76	U3ICM1	0
Q9NV58	D3ZXM0	P50636	0	0	0	0	E1BIP5	F6W7J2	Q2VJ60	W5NSB5	M3VXF6	E2QTG7	H0V9T6	G1SGD0	A0A1D5P4D9	U3J7R5	G1NHZ4
P46379	Q6MG49	Q9Z1R2	B7Z0D3	0	0	0	F1MY28	F6ZRP5	A5D9M6	W5PBA2	M3W2A9	J9NYU4	A0A286XWC5	G1SU30	0	0	0
P05026	P07340	P14094	0	0	0	0	Q3ZCH8	F6PN44	P05027	P05028	M3WB86	F1PMF0	Q9JM72	G1TUE1	F1NSV6	U3J9S3	G1NNF9
Q9NXV2	B5DEL1	Q8VC57	0	0	0	0	A5PKG7	F6USY7	0	W5QBG2	A0A2I2UB89	F1Q2Y4	A0A286XI67	G1TSI3	A0A1L1RVU9	0	G1N4W7
Q8WYN3	D4AE74	P59055	0	0	0	0	Q1LZE5	F6W1D4	A0A287AWX7	W5P5A2	M3WD60	J9NYX6	A0A286XUY7	G1TCH2	F1NPN0	U3J470	G1NE67
Q9UI17	Q5RKL4	Q9DBT9	0	Q6AW03	0	0	F1MDJ6	F7CFP1	A0A287BMY4	W5Q6Y3	M3WFY0	F1PKA8	H0UXB6	G1T6G8	E1BSV1	U3IM00	G1NAN2
Q9H0A0	D4AEB4	Q8K224	Q9W3C1	O01757	P53914	0	F1MPG7	F6SDN4	F1SGS7	W5QA91	M3VXR6	E2RBB4	A0A286XYT6	G1SFC6	E1C7J9	U3IJD5	G1NCT5
Q9H015	D3ZCM6	Q9Z306	0	0	0	0	E1BEU0	F6YQW8	A0A287ABQ9	W5Q0T2	0	F6UW69	H0V488	G1SJV5	0	U3INM0	G1N9M0
Q9NUN5	Q6AZ61	Q8K0B2	0	0	0	0	F1N364	F7AVT2	F1RTT5	W5PQV2	M3WUU2	F6XWJ1	H0VSI2	G1TAQ0	F1NWK3	U3J8Y3	G1NM64
Q8TDP1	D4A434	Q9CQ18	0	0	0	0	Q2M2U4	F6WNX0	F1RRK5	W5Q8C4	M3VTZ7	E2RIY5	H0VPB6	G1U3P4	0	0	0
Q12774	E9PT59	E9Q7D5	0	0	0	0	F1N2G5	F6Y5W8	I3LQ81	W5QAP0	M3W215	F1PGP2	H0V5L4	G1TRZ6	E1C6J2	U3I4A3	G1NMA6
O14498	B1H232	Q6GU68	0	0	0	0	A4IFA6	F6XHR9	F1SIE1	W5Q7V5	M3X315	E2RM78	H0W6M2	G1TY46	0	0	0
Q8TEE9	A0A0G2K3L6	Q1EHW4	0	0	0	0	E1BG14	F6VI38	0	W5Q5L1	M3XAR2	F1P6K4	0	G1TXU4	0	0	0
Q8NCQ7	Q4V7B4	B0QZF7	0	0	0	0	A7E371	F7CSL5	F1RNC3	W5NZF1	M3XFX8	F1PPS4	A0A286XGA4	G1U0P6	A0A1D5P914	U3HZX0	G1N1F3
Q8NE09	F1LX91	G3UYX5	0	0	0	0	F1N450	F6PQQ2	A0A287BJ74	W5NUD5	M3X882	F1PE12	H0VUF8	G1SVU7	A0A1D5P0G8	U3J6U5	0
Q6ZUX7	D4A0X7	Q8BGA2	Q9W0X9	0	0	0	A5PK28	F6XTU4	F1S2F5	W5Q6R1	M3W8F0	J9P9A6	A0A286XDR4	G1U7K5	E1BVB5	R0M4R0	G1MZQ8
P0DKB5	F1LVQ8	Q8C013	0	0	0	0	F1N6L2	F7AAV1	A0A286ZMF2	W5PNM9	0	F1PEP4	H0VSG8	G1T6Y9	A0A1D5PI69	0	0
P56178	P50575	P70396	0	0	0	0	Q1RMR7	F7DY45	A0A287AIX4	W5P312	A0A2I2UAL0	E2RJY3	H0UX25	G1SVH5	P50577	U3J9I3	0
Q6PIV2	F1LTW6	Q3UTB7	0	0	0	0	F1N3L4	F6TNV7	F1SAJ1	W5PQQ2	M3W2P8	F1PL52	H0UX74	0	0	0	0
Q9NRM1	D3ZIB0	O55196	0	0	0	0	F1MKR5	F6TG14	F1RUQ1	W5PPF7	M3X473	F6XYX3	H0VPZ3	G1SRC0	0	0	0
Q53G59	A0A140TA97	Q8BZM0	0	0	0	0	E1B932	F6TWL2	F1S4N0	W5QAA2	M3WI83	F1PP16	H0WBE2	G1SWS8	F1NLC2	U3IHY6	G1MRJ4
Q92614	A0A0G2JY08	Q9JMH9	0	0	0	0	E1BKQ6	F6T845	0	W5P7P6	A0A2I2URK3	F6Y037	A0A286XPT4	G1TXS2	E1BY27	U3J4L7	H9H1R6
O75409	D3ZZR0	Q9CR04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NRG9	D3ZNS8	P58742	0	0	0	0	Q0VC02	F7AGQ9	F1SFR0	W5Q4V6	M3W4W6	E2RH68	0	G1T108	A0A1D5PWG4	U3ICK8	H9H191
P00480	P00481	P11725	0	0	P05150	0	F1MNG5	F6UW24	F1RXQ9	W5NRA6	M3WE39	E2RD27	H0VMH8	G1TN19	F1NUG7	U3IRI5	G1NP50
Q9C0C4	D4A9J3	Q64151	0	0	0	0	E1BDM5	F6TNZ2	I3LBY1	W5PW78	M3VXD3	E2RHV1	H0VQ26	G1SJI9	0	0	0
P49810	O88777	Q61144	0	0	0	0	Q9XT96	F6WAW1	Q0MS45	W5NTE9	M3WA82	F1PWY2	H0UX54	G1TWJ2	F1NGP7	U3J368	G1N2Q5
Q9H000	Q5XI23	Q9ERV1	0	0	0	0	F6QQR5	F6WHK4	I3LLV1	W5Q2I1	M3W8R2	E2REH2	H0UVP6	G1U3K8	F1NI93	U3J5B8	G1N0J4
Q9Y426	Q6P691	E9Q3C1	0	0	0	0	F1MZ05	F6VVC6	I3L9E6	W5PLH3	M3WHE8	F1PUX1	H0UZF0	G1T9L9	F1NXN1	U3I2L9	G1NP06
Q9Y3E2	Q06C60	Q9D8S9	Q9VC53	P91375	Q3E793	0	Q3T138	0	F1SDF8	W5QHP1	M3WCP4	J9P2J0	H0VGG2	G1SM48	0	0	0
Q9NV31	B2RZ12	Q921Y2	Q7JZ53	O01513	P32899	0	F1MZR5	0	0	0	0	E2RL19	H0WCT2	G1SMB3	0	U3IZW4	0
Q8IXZ2	D3ZKY5	Q8CHP0	Q9VSK8	0	0	0	F1MXR8	F6RDM6	F1SEV6	W5NRP4	A0A2I2UJT7	F1PNB5	H0V7C9	0	A0A1D5PFM1	0	G1NK17
Q5W0B1	D3ZAB6	Q8K2Y0	0	0	0	0	A7Z060	F7AQ87	I3LJC2	W5NPU1	A0A2I2UKN6	J9P545	A0A286XN45	G1TIK5	E1BQE1	R0KER2	G1NPY3
Q8IXT1	B2GV00	E9QLR9	0	0	0	0	E1BCV2	F6TKV7	F1STW1	W5P6S0	M3X8S7	J9NYW5	H0VMV0	U3KN96	E1C4L2	R0JHE2	G1NQQ3
Q9Y586	D4ACZ1	Q8BPP1	0	0	0	0	G3MXA1	F6RJ51	F2Z5C6	W5Q0D8	M3X8D1	E2R6I8	H0WDU5	0	A0A1L1RXF7	U3I6F8	0
P41182	B2GUV8	P41183	0	0	0	0	E1B8E6	F7AXS6	F1SFH8	W5QH10	M3W6J1	E2RTJ4	H0V2D4	G1SNX1	Q5ZM39	U3J8D4	G1N6N0
Q15208	G3V9Q4	Q91VJ4	0	0	0	0	F1MBL1	F7AMJ7	F1RY93	W5PN72	M3WP47	E2RA10	H0V380	G1TPU5	E1C8Z7	U3J2B3	G1MU99
P51511	D3ZCG5	O54732	0	0	0	0	F1MHG1	F7DPJ2	A0A287A327	W5NSR3	M3VYZ5	F1P625	H0VQS2	G1T0I8	A0A1D5PR25	U3I1P5	G1MWI6
Q01085	Q5BJN3	P70318	0	0	0	0	F2Z4H8	F6Q5S4	F1SF34	W5NXF1	M3WUN5	E2RA41	A0A286Y2L0	G1SKE2	F1NY49	U3INK3	G1NFU1
O75563	Q920G0	Q3UND0	0	0	0	0	Q32LP7	F7DBH3	I3LVM5	W5PJQ2	M3WRR0	F1Q0B6	H0UTJ0	G1T138	A0A1D5PJV7	U3IVX7	G1NDY4
Q8IXZ3	D3ZQL2	Q8BMJ8	0	0	0	0	E1BMR6	F6W9Q7	A0A287B976	0	0	0	H0VZ16	0	A0A1D5P130	0	0
Q9H5P4	D4AAZ9	E9Q9W7	0	0	0	0	Q0IIL8	F6T6F0	F1S8U5	W5Q3P6	M3WN35	E2R754	H0UV37	G1SRF3	F1NV17	0	G1NCU2
Q8N5Y8	Q6TUD5	Q7TMM8	0	0	0	0	A4FV46	F7ARA2	F1SJL3	W5Q8W9	M3WF55	F1PT71	H0W6Q6	G1SSS6	F1NBH6	U3J8M1	G1NBA5
Q8NH10	M0RB81	Q8VFL0	0	0	0	0	0	F6RJZ0	0	W5PRH8	0	F1Q0L8	H0WA71	G1TK66	0	0	0
O43143	D3ZD97	O35286	Q7K3M5	Q20875	0	0	A5D7D9	F6VNI0	F1S5A8	W5P7B4	M3WB16	E2R2U3	H0V7U8	G1SIW1	F1NHI3	U3IE57	G1NIN7
Q9BT23	Q4KM31	Q8BGB5	0	0	0	0	Q1LZA7	F6WET2	A0A287B2K6	W5PV67	A0A2I2UJL7	E2RGH6	A0A286X846	G1SLH0	E1C059	U3IZ82	G1MSF0
Q02224	D3ZV60	Q6RT24	Q9VKI0	0	0	0	E1BG49	0	A0A287B860	W5PN40	M3W0I0	J9JHU7	H0V4X9	G1SDW0	0	U3IER0	G1NFU7
Q8NGS3	D3ZLB9	Q60879	0	0	0	0	E1B9W8	0	0	W5QDC2	M3X9W4	0	H0VZH2	G1T1J0	0	0	0
Q9H008	Q5I0D5	Q9D7I5	0	O01926	0	0	Q0VD18	F7B839	F1SDP2	W5PKU1	M3VXC8	E2QYD0	A0A286XY90	G1SWS5	A0A1D5PR69	U3J6A8	G1NGL2
Q6WRX3	D4A9Y1	A0A1Y7VNL1	0	0	0	0	F1MVD5	F6VTB0	A0A287ADS7	W5P6T2	M3VXQ5	F1PZY4	A0A286XQA5	G1TV80	0	0	0
P29279	Q9R1E9	P29268	0	0	0	0	O18739	F6X0K3	A0A287A0A9	W5PXV3	A0A2I2UVW0	J9NTX8	H0W019	G1SIE6	Q98TQ8	U3INW9	G3UU50
Q9Y5V0	A0A0G2K1A1	Q9D115	0	0	0	0	Q32P60	F7AGE8	0	W5QB53	A0A2I2U6F7	E2RQA4	A0A286XQY8	G1THI7	Q5ZMM5	R0JFL4	G1NI30
P16473	G3V6J1	P47750	0	0	0	0	F1N4F6	F6VJS7	A0A287A2N3	P56495	A0A2I2U839	F1PJI8	A0A286Y2F3	G1SFA5	F1NKT4	U3I2G6	G1NJV7
Q7Z4U5	F1LQ46	Q497N7	0	0	0	0	E1BK78	F7CZC5	A0A287AH13	W5NQA5	M3X1I6	J9P6T0	0	G1TB04	0	0	0
Q9Y2Y6	Q6AYS5	Q91X86	0	O45665	0	0	Q2HJB9	F7CK95	A0A287AZM2	W5PJS3	M3VVM3	E2RJZ3	H0UTA4	G1SXI5	A0A1D5PUC5	U3I8M8	0
Q92665	B0BN56	Q61733	Q9VUX1	Q09261	0	0	P82925	F6YXL8	A0A287AR81	W5PIG1	M3XEV6	J9P5D6	H0V0M1	G1TFY8	F1P5A5	U3I8G7	G1NQ79
P82663	Q4QR80	Q9D125	Q9VY28	Q9N361	0	0	P82669	F6WDK5	A0A0M3KL55	W5Q6Z2	M3X9W5	J9NYF3	H0W1B6	G1SS51	E1BSI6	R0KAH7	G1NDA9
P57105	Q9WVJ4	Q9D6K5	0	0	0	0	F1MQE8	F6SEP2	F1S4A6	0	A0A2I2UDJ5	F1P8B1	A0A286XUW6	0	A0A1D5NU72	U3J8P5	G1NGW8
Q8WUB8	A0A0G2K3M7	Q9D8M7	0	Q2A950	0	0	Q2T9V9	F7B5P6	I3LL77	W5P4U3	M3WHE3	F1PR25	H0WB97	G1SHZ9	E1C454	U3IT04	G1NHZ6
Q7Z4R8	Q6AY64	Q9DAY5	0	0	0	0	F1N1V6	0	I3LL77	W5P4T2	M3XDD0	F1PR38	H0W293	G1TTN2	Q5ZLK8	R0L5K7	G1NRR3
Q5BKX8	B1PRL5	A2AMM0	0	0	0	0	A5PJI6	F7A8K8	A0A287AZ05	W5PCH1	M3XCY5	E2R0B0	H0V611	G1TQ62	R4GKM8	U3IQ60	G1N6F8
A6NEQ2	B0BN67	A0A140LHM6	0	0	0	0	A7MB34	0	F1STW2	0	0	J9NZN3	0	0	A0A1L1RVL6	0	0
Q8TDX6	B5DEY9	Q8BJQ9	0	0	0	0	F1MU32	F6PHP6	A0A287AVB5	W5P1A2	M3WIT3	E2QVT0	H0V513	G1TBY6	F1NB01	U3J3T7	G1MZ00
Q8NH19	D3ZNL0	A2AT85	0	0	0	0	0	0	0	0	0	J9JHZ6	H0VTC8	G1U7Q1	0	0	0
P31749	P47196	P31750	0	0	0	0	G3X7B5	F6WGH2	A0A287AL02	0	A0A143RHU3	E2RJX4	A0A286XKS8	0	F1NMS0	U3J9Q1	G1NL49
P23219	Q66HK3	P22437	0	0	0	0	O62664	F7BQR7	F1SLQ6	W5PXG8	M3WEM6	Q8HZR1	H0V9X9	G1SHR6	A0A1D5PM03	U3J3T3	G1N7E3
O43781	Q4V8A3	Q922Y0	0	0	0	0	F6PR52	F6XIC1	A0A287BJH6	W5P860	M3XF30	E2R8C3	H0WAZ0	G1ST08	F1ND56	U3J6R3	G1MX88
O60911	P07154	P06797	0	0	0	0	P25975	F7BPX8	Q28944	W5PEY2	A0A2I2U6T4	0	H0VE49	G1SV24	0	0	0
Q92618	A0A0G2K242	Q7TSH3	0	0	0	0	E1BCA0	F6WWQ3	A0A287BIA4	W5P326	M3XBI3	E2R138	H0W5S2	G1SFQ5	A0A1D5P7I8	U3J5Z7	G1N7R9
O94941	Q3T1H9	Q925F4	Q9VA79	0	0	0	F1MJI5	F6SJN4	A0A287BLI6	W5P331	A0A2I2UW29	E2QWV3	H0VXR4	G1TZJ1	A0A1D5PAL6	U3I8S8	G1NKL3
Q9BSN7	Q5M962	Q7TQI0	0	0	0	0	Q0IIE5	F6T7B0	F1RG12	W5Q324	A0A2I2UBR7	E2R2E9	A0A286X8E5	G1SET8	R4GFE2	U3IUT8	G1NCG4
P57682	D4A4V3	Q60980	0	0	0	0	E1BIQ9	F6XU82	B4YSE3	W5PKA7	M3WQR5	E2QZZ4	A0A286Y4T0	G1SK83	A0A1D5PKX5	U3IIQ2	0
Q9H3E2	F1M998	Q3ZT31	Q9W3N0	0	0	0	F1MNB7	F7DNZ3	F1RSX9	W5PD12	M3W2W2	E2RPK1	H0VG67	G1TZU8	F1NUX8	U3IU21	G1N3A4
Q96GQ7	B1H269	Q921N6	Q7JQN4	Q95XM9	P32892	0	A1A4H6	F6UCH8	I3LIB1	W5PS07	M3VWN4	J9P9C6	H0UXJ2	G1TNT7	F1NQV5	U3IVE7	G1N993
Q5QP82	D4A8G6	A2AKB9	Q9VAT2	0	0	0	F1MYV7	F7BWI6	F1ST66	W5PP01	M3WPP0	E2RHV0	A0A286XYG1	G1SHK0	F1NXA8	U3IRS1	G1NA57
Q9Y6C2	D3Z9E1	Q99K41	0	0	0	0	E1BLS8	F6SMZ4	F1SDQ5	W5QCQ3	M3WZN5	E2RCF2	H0VCV2	G1SRW4	A0A1D5PY50	0	0
Q7Z739	D3ZIY3	Q8BYK6	0	0	0	0	E1BH80	F7BWX2	A0A287B6U9	W5Q5Z0	M3X3G3	J9NU08	A0A286XDW5	G1SVR2	Q5ZLM1	U3IUZ1	G1NF89
Q9HCM7	F1M3A0	E9Q9T0	0	0	0	0	E1BD01	F7CVC9	I3LGF9	W5PNY7	M3WNG3	J9NYQ7	H0VVQ5	G1TVW2	F1NV94	U3I4Y6	G1MSL8
Q14442	D4A0Z0	Q5M9N4	0	0	0	0	F1MGP1	F7DTY1	A0A287A3K3	W5QJ53	A0A2I2USE5	E2R175	H0V0L7	G1SDL5	F1P5E0	U3HZL7	G1NH73
Q3MII6	B1WBS1	A1A5B6	Q5BI03	0	0	0	E1BHZ5	F6UJW6	A0A287A4T1	W5PRV9	M3W9S4	J9PAY6	A0A286XM85	G1TPH3	A0A1D5P392	0	0
Q9H4L7	D3Z9Z9	Q04692	Q9VL72	G5EDG2	P31380	0	E1B7X9	F7BEX0	F1RWW3	W5Q8W6	M3W1A3	J9PA79	H0VJ31	G1TDE1	A0A1D5PHR6	U3IAD8	G1N1U1
Q9NSE2	B1WBX9	Q62225	0	0	0	0	Q2HJ53	F6XMN0	K9IVI9	W5PFW4	M3WSP2	J9P2S2	A0A286XX47	G1TQ50	G1K2Y8	U3J9P5	G1MSV8
Q8IWA5	B4F795	Q8BY89	0	0	0	0	A5D7H3	F7BBA7	F1S584	W5Q5M7	M3W313	F1PG85	Q810F1	G1T9Q5	0	U3IP10	0
Q0VF96	D4A3V5	Q6AW69	0	0	0	0	G5E5V6	F6ZQS4	A0A286ZRZ8	W5QI76	M3WP88	E2QV06	H0W331	G1SK43	E1BYS5	R0LMJ6	G1N1X0
P13385	F1M2P2	Q7TQ06	0	0	0	0	0	0	I3LUB6	W5PE44	A0A2I2UYW8	0	A0A286XJG9	G1SMY8	Q9I8Q3	U3IJ15	0
Q9Y2U2	D4A806	Q9Z2T1	0	0	0	0	E1B9M4	F6RAE6	F1RRI8	W5Q3N7	M3W4I6	E2RML4	H0VP98	G1SYV1	0	0	0
Q9ULV5	A0A096MK39	Q9R0L1	0	0	0	0	F1MVT6	F6XGH7	F1RFU9	W5NXL4	M3WK27	G1K2E0	A0A286XNL0	G1SYD0	F1NNK6	U3ICG0	G1MQD3
O95452	Q6AZ42	P70689	0	0	0	0	Q5E9Z5	F6WBZ3	A0A286ZY70	W5Q6I3	G8Z9I6	F6Y5D4	A0A286X9M9	G1TKT3	0	0	0
